title,url,type,date,summary
#060 - You don’t need to find the “right” curriculum,https://opened.co/newsletter/you-don-t-need-to-find-the-right-curriculum,daily,2024-10-23,"A radical idea from our latest podcast guest, plus the new helicopter parents and some tips on reading."
#066 - Doing division with a Star Wars twist,https://opened.co/newsletter/doing-division-with-a-star-wars-twist,daily,2024-10-31,How Charlynn Chambers uses real-world interests to teach math; plus the benefits of year-round learning
#057 - Weekly Roundup,https://opened.co/newsletter/weekly-roundup,daily,2024-10-18,"From mid-year enrollment to modern learning debates, this edition covers the real issue behind screen time, why standardized tests fall short, and career-readiness gaps. "
#063 - Math (without the misery),https://opened.co/newsletter/math-without-the-misery,daily,2024-10-28,"Learning centers find their groove, the perfectionism paradox, and a bonus meme/word of the day"
#064 - Custom education for single and working parents,https://opened.co/newsletter/custom-education-for-single-and-working-parents,daily,2024-10-29,A masterclass in opening your child's education from the Learning Division's own Sunny Simkins.
#067 - The perfect day is the enemy (plus: a 12-year-old built what?),https://opened.co/newsletter/the-perfect-day-is-the-enemy-plus-a-12-year-old-built-what-d715,daily,2024-11-01,"From redefining homeschool success to kids building SR-71 simulators, this edition covers thriving learning centers, Minecraft partnering with Stanford, and parent-friendly math inspiration."
#068 - Why kids who learn at home don’t get bullied as much,https://opened.co/newsletter/why-kids-who-learn-at-home-don-t-get-bullied-as-much,daily,2024-11-04,From escaping bullies to designing your own curriculum
#071 - Is reading a struggle? Check for these signs,https://opened.co/newsletter/is-reading-a-struggle-check-for-these-signs,daily,2024-11-07,One mom's refusal to accept a diagnosis led to an extraordinary breakthrough...
#069 - Is your kid a night owl?,https://opened.co/newsletter/is-your-kid-a-night-owl,daily,2024-11-05,"The virtues of a personalized schedule and the ""two-week rule"" for any new curriculum"
"#070 - Yes, you're qualified to teach your kids",https://opened.co/newsletter/yes-you-re-qualified-to-teach-your-kids,daily,2024-11-06,You don't need a master's degree to teach addition and subtraction
"#073 - What comes first, the lessons or the test?",https://opened.co/newsletter/new-post-1b5f,daily,2024-11-11,"The tutoring boom, Khan Academy's AI companion, and the 40-year quest to solve Bloom's ""2 sigma problem"""
"#074 - Try Different, Not Harder",https://opened.co/newsletter/try-different-not-harder,daily,2024-11-12,"From rooftop learning sessions to computer science math credits, plus the science behind your child's attention span"
#076 - The Four-Hour Revolution,https://opened.co/newsletter/the-four-hour-revolution,daily,2024-11-14,"How less time in ""school"" leads to more learning, why career counseling is broken, and the liberating truth about not ruining your kids"
#072 - Weekly Roundup: From Bullies to Night Owls,https://opened.co/newsletter/weekly-roundup-from-bullies-to-night-owls,daily,2024-11-08,"This week on OpenEd Daily: educational freedom reducing bullying, a powerful dyslexia breakthrough story, confidence for parent-teachers, trends in student-designed courses and career credentials."
#075 - How to create a high school transcript,https://opened.co/newsletter/new-post-7ac8,daily,2024-11-13,"Roadschooling revolutionaries in Spain, and the art of translating real learning into transcripts"
"Roadschoolers, Rebels & Rooftop Classes",https://opened.co/newsletter/roadschoolers-rebels-rooftop-classes,daily,2024-11-15,"The weekly roundup of unconventional wisdom, practical tools, and permission to teach differently"
#080 - 3 words to transform conversations with your kids,https://opened.co/newsletter/new-post-103c,daily,2024-11-20,"A conversation tip from a veteran homeschool mom, why Gen Z is obsessed with aesthetics, plus a peek inside the ""teacherless"" Acton Academy model."
#079 - The Hidden Value of Chores,https://opened.co/newsletter/the-hidden-value-of-chores,daily,2024-11-19,"Why doing laundry might matter more than AP scores, teaching multiple kids without losing your mind, and the skill colleges and employers actually want (but can't measure)."
#081 - To shield or to share? That is the question.,https://opened.co/newsletter/to-shield-or-to-share-that-is-the-question,daily,2024-11-21,"Why hiding your struggles from your kids might backfire, the power of trusting your parental instincts, and a free tool that turns music theory into play."
#082 – Chores Before AP Scores,https://opened.co/newsletter/new-post-f654,daily,2024-11-22,"Plus: 3 magic words to engage your kids, Gen Z's identity crisis, a father's manifesto, grade inflation exposed, and why sharing struggles might be good parenting"
#083 - Is there life on MARS?,https://opened.co/newsletter/is-there-life-on-mars,daily,2024-11-25,"Hybrid schools are evolving beyond part-time/home combos, the 7-hour school day myth gets debunked, plus a surprisingly simple reading hack from a Montessori expert."
#084 - The real reason we assign homework,https://opened.co/newsletter/the-real-reason-we-assign-homework,daily,2024-11-26,"Why ""quiet children"" might not exist, a novel theory about homework, plus a treasure trove of free classical education resources that have stood the test of time."
#085 - The old man who outsmarted his bullies,https://opened.co/newsletter/the-old-man-who-outsmarted-his-bullies,daily,2024-11-27,"When rewards kill motivation, Kentucky's education revolution, plus a home-based Montessori makeover anyone can do."
#087 - Screen Time: Quality Over Quantity (+ SpaceX's Math Revolution),https://opened.co/newsletter/screen-time-quality-over-quantity-spacex-s-math-revolution,daily,2024-12-02,"A tech founder's controversial take on screen time, Sweden's surprising pivot, and how SpaceX is reinventing math education"
#086 - The Element of Surprise,https://opened.co/newsletter/the-element-of-surprise,daily,2024-11-28,"A mother's love revolutionizes education, real-world learning beats textbooks by 8%, and why scientists used to mail radioactive elements (yes, really)"
#088 - The case against grammar worksheets (and what to do instead),https://opened.co/newsletter/the-case-against-grammar-worksheets-and-what-to-do-instead,daily,2024-12-03,"Schools built for compliance, why letting kids walk boosts success, and the delightfully nerdy pluperfect subjunctive."
#090 - The 3 R's Are All You Need,https://opened.co/newsletter/the-3-r-s-are-all-you-need,daily,2024-12-05,"Plus, why AP tests cost so much, and how to take better notes"
#089 - When Teachers Stop Teaching,https://opened.co/newsletter/when-teachers-stop-teaching,daily,2024-12-04,"A veteran educator finds magic in stepping back, plus our must-read book list for home education."
"#095 - The Power of 'Yes, And'",https://opened.co/newsletter/the-power-of-yes-and,daily,2024-12-12,"The education buffet is open: How families are mixing homeschool, public school, and everything in between..."
#097 - Dr. Phil Just Mainstreamed Unschooling 😮,https://opened.co/newsletter/dr-phil-just-mainstreamed-unschooling,daily,2024-12-13,"Dr. Phil spotlights unschooling on prime time, sparking a fresh look at socialization, real learning vs seat time, and the buffet future of education."
#092 - AI might be education's most patient assistant,https://opened.co/newsletter/new-post-2be6,daily,2024-12-09,Finding the balance between tech and human teaching
#091 - We *are* in Kansas anymore,https://opened.co/newsletter/we-are-in-kansas-anymore,daily,2024-12-06,"Big news: OpenEd heads to Kansas! Plus: Sweden ditches iPads, SpaceX reinvents math class, and why letting kids walk boosts success..."
#094 - The fastest-growing trend in American education,https://opened.co/newsletter/the-fastest-growing-trend-in-american-education,daily,2024-12-11,"Dr. Phil features an unschooling family, plus a new brain-training app for students and adults alike."
#093 - Time isn't the teacher,https://opened.co/newsletter/time-isn-t-the-teacher,daily,2024-12-10,Rethinking the industrial-age obsession with classroom hours
#098 - What Einstein *actually* said about school,https://opened.co/newsletter/what-einstein-actually-said-about-school,daily,2024-12-16,Plus: A public school's radical 1-day schedule experiment & why Outschool might be education's Netflix moment
#099 - Your child doesn't hate learning (here's what's really going on),https://opened.co/newsletter/your-child-doesn-t-hate-learning-here-s-what-s-really-going-on,daily,2024-12-17,"How teens can explore MIT & Harvard courses for free, why physical books aren't dead, and the truth about why kids 'hate' learning..."
#102 - Albert Einstein on his school and education system 💡,https://opened.co/newsletter/102-e747,daily,2024-12-20,"Einstein hated exam-driven schooling—and many kids do too. Explore better ways to learn, plus fresh trends and top tools."
#100 - Win a FREE family baking kit! (ends Friday) 🎉,https://opened.co/newsletter/win-a-free-family-baking-kit-ends-friday,daily,2024-12-18,"A celebration of 100 editions + our all-time favorite thoughts, trends & tools about open education."
#103 - Boring businesses FTW,https://opened.co/newsletter/boring-businesses-ftw,daily,2024-12-23,From facts that aged badly to million-dollar 'boring' businesses; Plus: a free kit for holiday break independence
#104 - 2025: The Year Learning Gets Personal,https://opened.co/newsletter/2025-the-year-learning-gets-personal,daily,2025-01-01,"Lessons from a SpaceX educator, a NASA engineer, and the ""Super Mario Effect"""
#105 - Kids aren't lab rats,https://opened.co/newsletter/new-post-fea6,daily,2025-01-02,"Why rigid teaching scripts are backfiring, a 5-year-old math professor, and what happens when we let kids (and teachers) think for themselves."
#106 - The science behind movement and memory,https://opened.co/newsletter/the-science-behind-movement-and-memory,daily,2025-01-06,Want your kids to remember what they learn? Let them move. Plus: The forest school revolution and a simple solution for sleep issues
#107 - The death of labels in education,https://opened.co/newsletter/the-death-of-labels-in-education,daily,2025-01-07,"What do you call it when your kid takes math online, science at the local high school, and runs a business from home? The old labels don't fit anymore"
When math finally clicks (OED #109),https://opened.co/newsletter/when-math-finally-clicks-oed-109,daily,2025-01-09,"One parent watched their kid go from ""I hate math"" to mastering calculus in 8 months. The secret wasn't faster teaching - it was letting them learn at their own pace. Plus: Why viral math tricks are missing the point."
#108 - What happened in 2012?,https://opened.co/newsletter/what-happened-in-2012,daily,2025-01-08,"Depression, anxiety, and academic struggles all spiked around 2012 across multiple countries. The culprit wasn't what parents expected... Plus: The myth of multitasking and a smarter way to use rewards."
Why your best ideas never come at a desk 🤔 (#110),https://opened.co/newsletter/why-your-best-ideas-never-come-at-a-desk-110,daily,2025-01-10,New research on the link between movement and memory Plus: The viral math hack that's missing the point...
🦉 When parents go to jail for wanting better schools (#111),https://opened.co/newsletter/when-parents-go-to-jail-for-wanting-better-schools-111,daily,2025-01-13,A mom spent 10 days in jail for using her dad's address to access better schools. Here's how states are finally fixing this broken system...
🦉 The hidden psychology of education shamers (#112),https://opened.co/newsletter/the-hidden-psychology-of-education-shamers-112,daily,2025-01-14,Why do some people get so defensive about your educational choices? Plus: alarming new data about classroom behavior has teachers speaking out. And: explore 200 years of Smithsonian treasures from your couch.
🐴 The 3-day school week (#116),https://opened.co/newsletter/the-3-day-school-week-116,daily,2025-01-20,Meet the former principal suggesting we've got the high school schedule all wrong
🦉Is your child using outdated study habits? (#113),https://opened.co/newsletter/is-your-child-using-outdated-study-habits-113,daily,2025-01-15,Two research-backed strategies that actually work (plus why half a million Florida students are going micro)
The Great Phone Ban begins 📱 (#115),https://opened.co/newsletter/the-great-phone-ban-begins-115,daily,2025-01-17,New Jersey kicks off 2025 by kicking phones out of schools. But there's a catch...
🐴 The 5-step formula for burnout (#117),https://opened.co/newsletter/the-5-step-formula-for-burnout-117,daily,2025-01-21,The AI teaching experiment that backfired. Plus; drone-piloting field trips?
🐴 The $150k teenage side-hustle (#119),https://opened.co/newsletter/the-150k-teenage-side-hustle-119,daily,2025-01-23,Meet the 17-year-old who turned a gardening project into a six-figure business. Plus: why being bored in high school doesn't mean college is the answer.
🐴 Weekly Roundup: Teen Success Stories (#120),https://opened.co/newsletter/weekly-roundup-teen-success-stories-120,daily,2025-01-24,"From garden boxes to plumbing companies, why some ambitious teens are choosing Main Street over student loans..."
🐴 How to make movies (without a $200k degree) (#119),https://opened.co/newsletter/the-150k-teenage-side-hustle-119-db76,daily,2025-01-27,"From Angel Studios to YouTube success stories, homeschooled creators are reshaping the entertainment industry. Plus: The complete filmmaker starter pack for teens."
🐴 A Stanford student's take on AI vs. Professors (#122),https://opened.co/newsletter/a-stanford-student-s-take-on-ai-vs-professors-122,daily,2025-01-28,From AI outperforming professors to 2-hour school days - rethinking how (and when) real learning happens
🐴 Breaking Writing Rules with Purpose (#127),https://opened.co/newsletter/breaking-writing-rules-with-purpose-127,daily,2025-02-04,"Meet Jennifer Jenkins, dyslexic turned author, plus your exclusive 15% discount to StoryCon 2024 featuring Diary of a Wimpy Kid's Jeff Kinney"
🐴 The Hidden Power of Feedback Loops (#123),https://opened.co/newsletter/the-hidden-power-of-feedback-loops-123,daily,2025-01-29,Discover how shrinking the gap between action and feedback revolutionizes education - from skate parks to classrooms. Plus: Your guide to college-ready transcripts.
🐴 Why Boys Are Falling Behind (#126),https://opened.co/newsletter/why-boys-are-falling-behind-126,daily,2025-02-03,From movement-based microschools to the science of paper vs. screens. Plus: Is a new AI reading app promising second-grade reading levels for toddlers worth the $500/month price tag?
🐴 March 2020: The Month That Changed Everything (#124),https://opened.co/newsletter/march-2020-the-month-that-changed-everything-124,daily,2025-01-30,"When every parent became a homeschooler (even if just for two weeks), education changed forever..."
🐴 When 'weird' wins (#129),https://opened.co/newsletter/when-weird-wins-129,daily,2025-02-06,A $5k Prize for Teen Entrepreneurs. Plus: Kid-run markets are taking over America
🐴 Baby agency + transforming screen time (#128),https://opened.co/newsletter/breaking-writing-rules-with-purpose-127-e74d,daily,2025-02-05,From infant learning to teenage tech use: new insights on student agency
🐴 Mixed-age learning takes off (#131),https://opened.co/newsletter/mixed-age-learning-takes-off-131,daily,2025-02-10,Multi-Age Learning Enters the Mainstream. Plus: A look at how mixing ages creates magic (and why separating them was a military idea in the first place).
🐴 Shakespeare at 8? A neuroscientist explains (#132),https://opened.co/newsletter/shakespeare-at-8-a-neuroscientist-explains-132,daily,2025-02-11,"Dr. Claire Honeycutt explains why complex learning - from Shakespeare to theoretical math - might be exactly what young brains need. Plus, the two opposite books every parent should read."
🐴 Skip College? These Teens Already Have Their Degrees (#130),https://opened.co/newsletter/skip-college-these-teens-already-have-their-degrees-130,daily,2025-02-07,How some ambitious students are getting college degrees before finishing high school - plus your guide to the $5k youth entrepreneur competition
🐴 A fresh look at classical education (#133),https://opened.co/newsletter/a-fresh-look-at-classical-education-133,daily,2025-02-12,What happens when classical education meets modern flexibility? Classical schools have doubled in the last decade. Plus: A new way to bring this time-tested approach home without the rigid schedule.
🐴 Why kids lose their love of learning (#134),https://opened.co/newsletter/why-kids-lose-their-love-of-learning-134,daily,2025-02-13,How an Australian rebel is reshaping American education. Plus: The framework that puts students in charge of their learning journey.
🐴 How to live a fulfilled life. (#136),https://opened.co/newsletter/how-to-live-a-fulfilled-life-136,daily,2025-02-17,Lessons from a high school graduation speech. Plus: how Kansas is reinventing public education.
🐴 When brain science meets education (#135),https://opened.co/newsletter/when-brain-science-meets-education-135,daily,2025-02-14,"A tenured professor walks away from academia to revolutionize learning, mixed-age classrooms take off, and classical education gets a modern twist..."
🐴 This school let its students design the campus. (#137),https://opened.co/newsletter/this-school-let-its-students-design-the-campus-137,daily,2025-02-18,"Why choosing your educational ""gaps"" matters more than finding the perfect school. Plus: what happened when the Forest School asked its students to design its new campus"
🐴 The morning routine that's tearing families apart (#138),https://opened.co/newsletter/the-morning-routine-that-s-tearing-families-apart-138,daily,2025-02-19,"Naval Ravikant's provocative clip about family schedules has parents asking tough questions. Plus: How ""educational architects"" are building better alternatives, and a simple two-question reset for stuck families."
"🐴 ""My kid can't read yet. Should I panic?""",https://opened.co/newsletter/my-kid-can-t-read-yet-should-i-panic,daily,2025-02-20,"PLUS: A review of a $1,600+ smart whiteboard."
🐴 The Simple Formula Behind Reading Success (#141),https://opened.co/newsletter/the-simple-formula-behind-reading-success-141,daily,2025-02-24,"Reading success isn’t magic—it’s math. Miss one key piece, and comprehension crumbles. PLUS: Why phonics isn’t enough and a free toolkit to help kids catch up."
🐴 Will there be no more great physicists?,https://opened.co/newsletter/will-there-be-no-more-great-physicists,daily,2025-02-27,Nobel laureate Richard Feynman's warning about standardized education. PLUS: A simple technique to test your child's actual understanding.
"🎙️ Honey, I Started a School: The Microschool Revolution (#143)",https://opened.co/newsletter/honey-i-started-a-school-the-microschool-revolution-143,daily,2025-02-25,Regular parents are launching microschools as families flee one-size-fits-all education. Plus a 220% surge in interest and Prenda’s “school-in-a-box.”
"🐴 ""I'm terrible at math but need to teach it"" (one mom's solution)",https://opened.co/newsletter/i-m-terrible-at-math-but-need-to-teach-it-one-mom-s-solution,daily,2025-03-03,Even math-phobic parents can teach with confidence using the right tools. PLUS: Raymond Moore's timeless advice on the power of parental presence.
"No Kindle, but here’s another shot at winning 🎯",https://opened.co/newsletter/no-kindle-but-here-s-another-shot-at-winning,daily,2025-02-26,Bad news first: You didn’t win the Kindle we were giving away at StoryCon. But you did unlock something pretty cool just by signing up.
🐴 6 reasons kids say they 'hate school' (#135),https://opened.co/newsletter/6-reasons-kids-say-they-hate-school-135,daily,2025-02-21,What to tell a learner who's struggling in their school. PLUS: How one family is homeschooling for (nearly) free this year.
🐴 Are we overcomplicating subtraction?,https://opened.co/newsletter/are-we-overcomplicating-subtraction,daily,2025-03-10,From simple subtraction to side quests: Is math getting too complex? Plus: How to make math enjoyable again.
"🐴 Yes, you are enough",https://opened.co/newsletter/don-t-start-with-the-chalkboard-1-34ac,daily,2025-03-06,OpenEd is coming to Indiana! PLUS: the doubt that stops some parents from pursuing an open education.
🐴 Great writers think first,https://opened.co/newsletter/great-writers-think-first,daily,2025-03-04,Why exceptional writing starts with stronger thinking. PLUS: The happiness curve has completely inverted for today's youth—what it means for education.
🎙️ Don't start with the chalkboard,https://opened.co/newsletter/don-t-start-with-the-chalkboard-61df,daily,2025-03-05,Learning happens outside classroom walls. PLUS: A simple observation technique eases the transition from traditional schools.
🐴 What lawnmowers and baby cows can teach us,https://opened.co/newsletter/what-lawnmowers-and-baby-cows-can-teach-us,daily,2025-03-12,"""The 50 Yard Challenge"" turns lawn mowing into life-changing lessons for kids 8-17. PLUS: What Japanese first-graders and a calf named Laura teach us about natural learning."
🐴 Stop overscheduling your child's learning,https://opened.co/newsletter/stop-overscheduling-your-child-s-learning,daily,2025-03-11,"Overwhelmed with homeschooling? This 20-minute method could help. PLUS: $5,000 Youth Entrepreneur Award deadline approaching March 15th!"
🐴 Why your explanations aren't clicking (and the simple fix),https://opened.co/newsletter/why-your-explanations-aren-t-clicking-and-the-simple-fix,daily,2025-03-18,How showing what something ISN'T creates faster understanding than showing what it IS.
🐴 Silicon Valley's education secret is leaking (and it's not coding),https://opened.co/newsletter/silicon-valley-s-education-secret-is-leaking-and-it-s-not-coding,daily,2025-04-01,"When Silicon Valley elites abandon private schools for custom education, what do they know that we don't? PLUS: The free tool making personalized learning accessible to everyone."
"🐴 Study like a lion, not like a cow",https://opened.co/newsletter/study-like-a-lion-not-like-a-cow,daily,2025-03-20,82% of students can't do math at grade level despite billions in funding. PLUS: A free alternative to paid content screening tools.
🐴 The 4-minute video that teaches quadratic equations better than most schools,https://opened.co/newsletter/the-4-minute-video-that-teaches-quadratic-equations-better-than-most-schools,daily,2025-03-25,"This simple lo-fi video has racked up 4.4M views by making ""completing the square"" actually make sense. PLUS: Why Barbara Corcoran says her dyslexia was the secret to her success, and the mathematical formula that's quietly ruining education."
🐴 Why the trades pay 6 figures,https://opened.co/newsletter/why-the-trades-pay-6-figures,daily,2025-03-31,Just 1.5% of Americans feed 300 million people. See how the skilled trades shortage creates opportunity. PLUS: $2.5 million in scholarships for people willing to work.
🐴 Valedictorian's Confession: 'That's It?' (The Empty Feeling at the Top),https://opened.co/newsletter/valedictorian-s-confession-that-s-it-the-empty-feeling-at-the-top,daily,2025-04-08,How a valedictorian's moment of glory turned into an unexpected lesson on what truly matters. PLUS: Why grading less could transform education & documentary gems that bring learning to life.
🐴 Is 'Homeschooling' the wrong word (when you're only home 3 hours a day)?,https://opened.co/newsletter/is-homeschooling-the-wrong-word-when-you-re-only-home-3-hours-a-day,daily,2025-04-10,"Veteran homeschool mom of five reveals why ""homeschooling"" is actually a misnomer. PLUS: How prioritizing emotional wellbeing transformed her special needs children & the surprising truth about diplomas that employers don't tell you."
🐴 Minnesota AND Iowa?? (+ 12 podcasts for busy parents),https://opened.co/newsletter/minnesota-and-iowa-12-podcasts-for-busy-parents,daily,2025-04-15,OpenEd is expanding to Iowa and Minnesota! Plus: Adam Savage exposes why tests miss real learning & 12 education podcasts to transform driving time into a learning opportunity.
"🐴 ""No ChatGPT Until High School""",https://opened.co/newsletter/no-chatgpt-until-high-school,daily,2025-04-21,Today's ChatGPT panic looks remarkably similar to the calculator protests of the 1960s. What can history teach us about the tools we fear? PLUS: A reimagined gap year and free online STEM tutoring.
"🐴 How a $100,000 bet against college created 11 billion-dollar companies",https://opened.co/newsletter/how-a-100-000-bet-against-college-created-11-billion-dollar-companies,daily,2025-04-14,"Harvard requires 32 credits to graduate, but how many do you actually need for success? PLUS: OpenEd is coming to Minnesota! Tell a friend."
🐴 Why 'weird' kids win in adulthood,https://opened.co/newsletter/why-weird-kids-win-in-adulthood,daily,2025-04-17,"Award-winning educator T.K. Coleman reveals why ""weird"" might be your child's superpower. PLUS: The real reason traditionally-schooled kids struggle in adulthood & how artificial age-segregation limits social development."
InfoCenter Improvements – March 2025,https://opened.co/blog/infocenter-improvements---march-2025,blog,2025-03-27,We’ve made two big improvements to InfoCenter that’ll make it even easier to build a stress-free educational environment.
Episode 023 - The Apogee Approach to Modern Education: A Former Teacher's Journey to Microschooling,https://opened.co/podcast/4874,podcast,2024-01-01,"After 12 years in public education, Peggy couldn't ignore what her training in human development was telling her - the system wasn't working for kids. Now running Apogee Utah, she shares how giving children autonomy, respecting their developmental needs, and allowing them to fail forward has transformed their learning experience. From 15-minute lunch breaks to rigid testing schedules, she reveals what really happens in traditional classrooms and how there's a better way forward."
🎙️Episode 002 - When someone asks if you homeschool...,https://opened.co/podcast/f0-9f-8e-99-ef-b8-8f-opened-podcast-episode-002-when-someone-asks-if-you-homeschool,podcast,2024-08-08,The old labels don't cut it anymore
🎙️ Episode 001 - Students Aren't Standard,https://opened.co/podcast/001-students-arent-standard,podcast,2024-07-31,It's not you. It's the curriculum.
🎙️Episode 003 - The Truth About Tech Careers in 2024 (No Degree Required),https://opened.co/podcast/f0-9f-8e-99-ef-b8-8fepisode-003-the-truth-about-tech-careers-in-2024-no-degree-required,podcast,2024-08-14,Aaron Osmond on what employers really want
🎙️Episode 004 - The End of One-size-fits-all,https://opened.co/podcast/f0-9f-8e-99-ef-b8-8fepisode-004-the-great-unbundling-with-michael-horn,podcast,2024-08-22,"Will the be an ""unbundling"" of education?"
Episode 005 - she almost gave up on education,https://opened.co/podcast/episode-005-she-almost-gave-up-on-education,podcast,2024-08-29,"Hear OpenEd VP of Learning Andrea Fife’s journey from burnout and college dropout to personalized-learning champion, and why open education helps every kid find a path that fits."
Episode 012 - Kerry McDonald on Liberating Education,https://opened.co/podcast/episode-012-kerry-mcdonald-on-liberating-education,podcast,2024-10-15,"Kerry McDonald explains why alternative education is booming—pandemic shifts, school choice, micro-schools, and tech fueling a new learning ecosystem."
Episode 006 - Deschooling Your Mind with Hannah Frankman,https://opened.co/podcast/episode-006-deschooling-your-mind-with-hannah-frankman,podcast,2024-09-04,Most classroom time is wasted. Hannah Frankman shows the hidden harms of schooling and shares mental models to deschool your mind.
Episode 007 - 5 Building Blocks of Open Education with Isaac Morehouse,https://opened.co/podcast/episode-007-5-building-blocks-of-open-education-with-isaac-morehouse,podcast,2024-09-12,Why open education works: Isaac Morehouse shares five foundational ideas—from human curiosity to real-world application—on the OpenEd podcast.
Episode 009 - Daniella Park of Baketivity,https://opened.co/podcast/episode-009-daniella-park-of-baketivity,podcast,2024-09-23,The Surprising Connection Between Baking and STEM Education
Episode 008 - MARK HYATT,https://opened.co/podcast/episode-008-mark-hyatt,podcast,2024-09-19,Hands-on aviation learning with Mark Hyatt of Falcon Aerolab
Episode 010 - Relax and trust the process,https://opened.co/podcast/episode-010-relax-and-trust-the-process,podcast,2024-10-03,"Our first OpenEd Q&A tackles parents’ biggest worries: freedom vs prep, learning without grades, screen time, reading, and finding passions."
Episode 011 - Unplugged and Unafraid: The Nature Kids Connection,https://opened.co/podcast/episode-011-unplugged-and-unafraid-the-nature-kids-connection,podcast,2024-10-12,The nature kids join the OpenEd podcast
Episode 013 - Sidekick to Hero,https://opened.co/podcast/episode-013-sidekick-to-hero-joey-mascio-on-empowering-teens-through-self-development,podcast,2024-10-21,Joey Mascio on Empowering Teens Through Self-Development
Episode 014 - Stop Outsourcing Your Child's Education,https://opened.co/podcast/episode-014-stop-outsourcing-your-childs-education,podcast,2024-10-23,Matt Beaudreau on Taking Back Control
Episode 015 - The Single Mom Who Fixed Her Kid's Education (Without Leaving Public School),https://opened.co/podcast/episode-015-the-single-mom-who-fixed-her-kids-education-without-leaving-public-school,podcast,2024-10-30,Sunny Simkins on customizing education as a single-parent
Episode 016 – How to Transform Everyday Moments into Powerful Learning Experiences,https://opened.co/podcast/episode-016-how-to-transform-everyday-moments-into-powerful-learning-experiences-with-charlynn-chambers,podcast,2024-10-31,When Education Becomes Life with Parent Ambassador Charlynn Chambers
Episode 017 - From Classroom Teacher to Homeschool Mom,https://opened.co/podcast/episode-017-from-classroom-teacher-to-homeschool-mom,podcast,2024-11-05,Jamie Lesko on Finding Your Family's Educational Cocktail
Episode 018 - Is It Really Dyslexia?,https://opened.co/podcast/episode-018-is-it-really-dyslexia-why-your-childs-reading-struggles-might-be-vision-related,podcast,2024-11-07,Why Your Child's Reading Struggles Might Be Vision-Related with Krystle Cordingley
"Episode 019 – Q&A: ADHD, Social Skills, & Making Hard Choices in Alternative Education",https://opened.co/podcast/episode-019-qa-adhd-social-skills-making-hard-choices-in-alternative-education,podcast,2024-11-12,"With Special Guest Andrea Fife, ADHD Education Specialist"
Episode 020 - The Secret to Not Ruining Your Homeschool Kids | Veteran Mom's 20-Year Journey,https://opened.co/podcast/episode-020-the-secret-to-not-ruining-your-homeschool-kids-veteran-moms-20-year-journey,podcast,2024-11-14,"Featuring Sandy Grant, Homeschool Mother of Six"
Mike Rowe's Case for Career and Technical Education,https://opened.co/blog/mike-rowes-case-for-career-and-technical-education,blog,2024-08-13,How CTE is Redefining 'Good Jobs'
How to Create a Thriving Educational Micro-Community: The Complete Guide | Eleyah Knight,https://opened.co/blog/5339,blog,2024-01-01,"Educational micro-communities are transforming learning: Small groups of 5-15 students create personalized, real-world education. Get our complete startup guide."
Episode 021 - Why We Left School (The Red Flags She Wishes She Saw Earlier),https://opened.co/podcast/episode-021-why-we-left-school-the-red-flags-she-wishes-she-saw-earlier,podcast,2024-11-22,Featuring Cassie Shepard of Home Centered Learning
Episode 022 - How This Working Mom Ditched Homework &amp; Transformed Her Kids' Education,https://opened.co/podcast/episode-022-how-this-working-mom-ditched-homework-transformed-her-kids-education,podcast,2024-11-26,"Featuring Keri Mae, Former Public School Teacher"
Episode 023 - The Apogee Approach to Modern Education: A Former Teacher's Journey to Microschooling,https://opened.co/podcast/episode-023-the-apogee-approach-to-modern-education-a-former-teachers-journey-to-microschooling,podcast,2024-12-04,"After 12 years in public education, Peggy couldn't ignore what her training in human development was telling her - the system wasn't working for kids. Now running Apogee Utah, she shares how giving children autonomy, respecting their developmental needs, and allowing them to fail forward has transformed their learning experience. From 15-minute lunch breaks to rigid testing schedules, she reveals what really happens in traditional classrooms and how there's a better way forward."
Episode 024 - Why Poor Parents Trust Schools More Than Rich Ones Do | Derrell Bradford,https://opened.co/podcast/episode-024-why-poor-parents-trust-schools-more-than-rich-ones-do-derrell-bradford,podcast,2025-01-13,"What 20,000 Families Revealed About America's Schools"
7 Uncomfortable Truths About Education from Award-Winning Teacher John Taylor Gatto,https://opened.co/blog/5369,blog,2024-01-01,Why award-winning teacher John Taylor Gatto quit: The 7 hidden lessons schools really teach and how they damage children's natural curiosity and independence.
Playing with LEGO is More Valuable than Learning Algebra,https://opened.co/blog/i-played-with-legos-instead-of-doing-math,blog,2024-09-02,Why playing with LEGO was more valuable than algebra: A homeschooler's case for self-directed learning over forced curriculum and textbook education.
OpenEd Community's Favorite Educational Resources,https://opened.co/blog/opened-communitys-favorite-educational-resources-a-living-list,blog,2024-08-05,A Living List
The World Has Changed.,https://opened.co/blog/world-changing,blog,2024-07-31,Education Is Catching Up.
Beyond A to F,https://opened.co/blog/beyond-a-to-f,blog,2024-08-21,"Why Roger Federer would fail school: He won only 54% of points played. Learn how competency-based education replaces rigid grading with ""mastered or not yet."""
What neuroscience can teach us about homeschooling | Dr. Claire Honeycutt,https://opened.co/blog/what-neuroscience-tells-us-about-homeschooling-dr-claire-honeycutt,blog,2025-02-11,"""I got tenure so they couldn't fire me, so I quit.""

– Dr. Claire Honeycutt"
